variable,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,28,29,3,30,31,32,33,34,36,37,38,39,4,40,41,42,43,44,45,46,47,48,5,6,7,8,9
CellLine,BT20,HCC1500,HCC1569,HCC1599,HCC1937,HCC1954,HCC202,HCC2218,HCC38,HCC70,MCF7,BT474,MDAMB134VI,MDAMB157,MDAMB175VII,MDAMB231,MDAMB330,MDAMB361,MDAMB415,MDAMB436,MDAMB453,BT483,MDAMB468,MPE600,OCUBF,SKBR3,SKBR5,SUM102PT,SUM149PT,SUM159PT,SUM185PE,BT549,SUM190PT,SUM225CWN,SUM229PE,SUM44PE,SUM52PE,T47D,UACC893,ZR751,ZR7530,DU4475,HCC1143,HCC1187,HCC1395,HCC1419
classification,TNBC,NonTNBC,NonTNBC,TNBC,TNBC,NonTNBC,NonTNBC,NonTNBC,TNBC,TNBC,NonTNBC,NonTNBC,NonTNBC,TNBC,NonTNBC,TNBC,NonTNBC,NonTNBC,NonTNBC,TNBC,TNBC,NonTNBC,TNBC,NonTNBC,NonTNBC,NonTNBC,NonTNBC,TNBC,TNBC,TNBC,TNBC,TNBC,NonTNBC,NonTNBC,TNBC,NonTNBC,TNBC,NonTNBC,NonTNBC,NonTNBC,NonTNBC,TNBC,TNBC,TNBC,TNBC,NonTNBC
ENSG00000000003,-0.121,1.1555,0.541,1.075,0.912,1.803,0.073,0.2635,-0.469,0.92,-1.566,-1.457,NA,-2.0445,0.3,-0.575333333333333,0.092,-1.64,-0.691,0.497,-1.554,-0.7235,0.893,-0.612,-0.724,NA,-0.445,0.976,0.27275,NA,0.5825,1.2,0.485,0.501,0.6895,-0.929,-0.108,-1.033,-0.5605,-1.609,0.432,-1.087,0.857,0.996,-0.495,NA
ENSG00000000419,-0.8785,0.3095,0.401,-0.83,-0.2965,0.082,0.577,0.3765,-1.127,-0.142,0.07,-0.161,-0.131,0.0935,0.875,0.0373333333333333,-0.637,-0.001,-1.058,-0.481,-0.362,0.3695,-0.411,-0.436,0.073,-0.1225,-0.04,0.28,0.40825,-0.388,-0.2265,0.217,-0.052,0.011,0.128,-0.301,-0.945,0.437,1.012,0.51,-0.3385,0.232,-0.698,-0.635,-0.026,0.644
ENSG00000000457,-0.0185,-0.9205,0.006,-0.785,-1.75,0.233,0.574,1.6345,-0.878,0.211,0.1135,1.174,0.004,-1.3435,1.661,-0.536666666666667,1.203,-0.022,0.325,-1.597,1.009,-1.1055,-0.225,1.406,0.731,-0.0405,0.941,-1.461,-2.78475,-0.223,-0.226,-3.542,0.614,0.977,-2.0435,0.979,-0.008,0.512,1.533,1.161,2.129,0.455,-2.061,0.016,-1.833,0.64
ENSG00000000460,NA,NA,-0.298,NA,NA,0.396,0.706,-0.2665,-0.998,0.377,NA,0.675,NA,-0.5715,NA,NA,NA,NA,-1.493,-0.207,0.193,-0.2305,-0.234,-0.643,-0.188,NA,-1.2,0.002,0.08275,NA,NA,NA,-0.259,-0.521,NA,0.461,0.136,0.109,-0.0625,0.26,-0.781,0.382,0.007,0.018,NA,NA
ENSG00000001036,-0.5165,0.2915,0.032,-0.671,-0.3155,-0.458,0.136,-0.7925,-0.401,-0.46,0.197,-0.155,0.485,2.1755,-0.03,-0.711333333333333,1.298,0.548,2.844,-0.004,-0.605,0.4655,-0.61,0.911,1.088,-0.553,0.345,0.499,0.82025,0.052,0.2165,-0.465,0,0.874,0.4855,0.366,0.364,0.884,1.112,-0.702,0.992,0.908,-0.621,-1.114,-0.424,1.387
ENSG00000001084,1.306,-0.0685,-0.397,0.956,0.2275,1.258,-0.064,0.0235,-0.348,0.81,-0.037,0.083,-0.694,-0.8055,-0.093,-0.590666666666667,-0.223,0.514,1.012,-0.808,-0.197,0.1305,0.36,0,0.341,-0.165,1.368,-1.138,-0.95525,0.302,-0.572,-0.33,-0.585,1.277,-0.5525,2.023,0.625,0.393,0.731,-1.042,1.37,-0.568,-0.481,0.138,0.975,-0.225
ENSG00000001497,0.163,0.2695,-0.03,-0.246,0.2455,0.168,0.142,-0.3635,-0.122,-0.18,0.69,-0.164,0.145,0.8775,-0.451,-0.124666666666667,-0.649,-0.78,-0.638,0.226,-0.705,0.5375,-0.179,-0.409,-0.315,0.117,-0.221,0.298,0.70925,0.61,-0.1215,0.539,0.116,-0.452,0.683,-0.434,0.18,-0.579,-0.5745,0,-1.0645,0.193,0.411,-0.039,0.213,-0.583
