"Plate"	"Well"	"CellLine"	"X2D.3D"	"Replicate"	"Reads"	"Subtype"	"ECB_sample_ID"	"YourSampleID"	"SampleIn2DPanel"
"1"	1	"A01"	"BT20"	"2D"	"A"	"20M"	"BasalA"	"I16-1284-A01"	"BT20_2D_A"	"Yes"
"2"	1	"A02"	"BT474"	"2D"	"A"	"20M"	"Luminal "	"I16-1284-A02"	"BT474_2D_A"	"Yes"
"3"	1	"A03"	"BT549"	"2D"	"A"	"20M"	"BasalB"	"I16-1284-A03"	"BT549_2D_A"	"Yes"
"4"	1	"A04"	"CAMA-1"	"2D"	"A"	"20M"	"Luminal "	"I16-1284-A04"	"CAMA-1_2D_A"	"Yes"
"5"	1	"A05"	"DU4475"	"2D"	"A"	"20M"	"BasalA"	"I16-1284-A05"	"DU4475_2D_A"	"Yes"
"6"	1	"A06"	"EVSA-T"	"2D"	"A"	"20M"	"Luminal"	"I16-1284-A06"	"EVSA-T_2D_A"	"Yes"
"7"	1	"A07"	"HCC1143"	"2D"	"A"	"20M"	"BasalA"	"I16-1284-A07"	"HCC1143_2D_A"	"Yes"
"8"	1	"A08"	"HCC1187"	"2D"	"A"	"20M"	"BasalA"	"I16-1284-A08"	"HCC1187_2D_A"	"Yes"
"9"	1	"A09"	"HCC1395"	"2D"	"A"	"20M"	"BasalB"	"I16-1284-A09"	"HCC1395_2D_A"	"Yes"
"10"	1	"A10"	"HCC1419"	"2D"	"A"	"20M"	"Luminal"	"I16-1284-A10"	"HCC1419_2D_A"	"Yes"
"11"	1	"A11"	"BT483"	"2D"	"A"	"20M"	"Luminal"	"I16-1284-A11"	"BT483_2D_A"	"Yes"
"12"	1	"A12"	"HCC1500"	"2D"	"A"	"20M"	"BasalB"	"I16-1284-A12"	"HCC1500_2D_A"	"Yes"
"13"	1	"B01"	"HCC1569"	"2D"	"A"	"20M"	"BasalA"	"I16-1284-B01"	"HCC1569_2D_A"	"Yes"
"14"	1	"B02"	"HCC1599"	"2D"	"A"	"20M"	"BasalA"	"I16-1284-B02"	"HCC1599_2D_A"	"Yes"
"15"	1	"B03"	"HCC1806"	"2D"	"A"	"20M"	"BasalA"	"I16-1284-B03"	"HCC1806_2D_A"	"Yes"
"16"	1	"B04"	"HCC1937"	"2D"	"A"	"20M"	"BasalA"	"I16-1284-B04"	"HCC1937_2D_A"	"Yes"
"17"	1	"B05"	"HCC1954"	"2D"	"A"	"20M"	"BasalA"	"I16-1284-B05"	"HCC1954_2D_A"	"Yes"
"18"	1	"B06"	"HCC202"	"2D"	"A"	"20M"	"Luminal"	"I16-1284-B06"	"HCC202_2D_A"	"Yes"
"19"	1	"B07"	"HCC2218"	"2D"	"A"	"20M"	"Luminal"	"I16-1284-B07"	"HCC2218_2D_A"	"Yes"
"20"	1	"B08"	"HCC38"	"2D"	"A"	"20M"	"BasalB"	"I16-1284-B08"	"HCC38_2D_A"	"Yes"
"21"	1	"B09"	"HCC1143"	"3D"	"A"	"20M"	"BasalA"	"I16-1284-B09"	"HCC1143_3D_A"	"No"
